rating;lat;lon;commune
4;-33.44723574;-70.63120388;Providencia
4;-33.41426362;-70.59851464;Las Condes
4.5;-33.40337793;-70.58851736;Vitacura
4.5;-33.4024361;-70.59200217;Vitacura
4.5;-33.39950201;-70.5742441;Las Condes
4.5;-33.39485085;-70.57913163;Vitacura
4.5;-33.38190903;-70.57974864;Vitacura
4.5;-33.42042503;-70.59864952;Providencia
4.5;-33.42068181;-70.60959658;Providencia
4.5;-33.38190903;-70.57974864;Vitacura
4.5;-33.40432157;-70.58346939;Las Condes
4.5;-33.43102866;-70.61883394;Providencia
4.5;-33.43907735;-70.64152397;Santiago
4.5;-33.45416159;-70.59404658;Ñuñoa
4.5;-33.43431382;-70.64438333;Santiago
4.5;-33.43223942;-70.63475299;Providencia
4.5;-33.4383369;-70.64115224;Santiago
4.5;-33.43701177;-70.64077415;Santiago
4.5;-33.43730739;-70.61605125;Providencia
4.5;-33.431066;-70.61836186;Providencia
4.5;-33.43318027;-70.63441434;Providencia
4.5;-33.43279959;-70.63485049;Providencia
4.5;-33.4427269;-70.62618016;Providencia
4.5;-33.40055499;-70.59246827;Vitacura
4.5;-33.43701177;-70.64077415;Santiago
4.5;-33.39950201;-70.5742441;Las Condes
4.5;-33.44552432;-70.61698689;Providencia
4.5;-33.43167594;-70.6184151;Providencia
4.5;-33.41439013;-70.59457931;Las Condes
4.5;-33.432993;-70.633566;Providencia
4.5;-33.4384089;-70.64115127;Santiago
4;-33.44723574;-70.63120388;Providencia
4;-33.41426362;-70.59851464;Las Condes
4.5;-33.44025839;-70.63504465;Santiago
4.5;-33.41426362;-70.59851464;Las Condes
4.5;-33.42641031;-70.62002748;Providencia
4.5;-33.43206269;-70.63551166;Providencia
4.5;-33.41393261;-70.60183699;Las Condes
4.5;-33.40432157;-70.58346939;Las Condes
4.5;-33.42263532;-70.61252975;Providencia
4.5;-33.40223218;-70.59846251;Vitacura
4.5;-33.43466695;-70.63508536;Providencia
4.5;-33.44680998;-70.66430007;Santiago
4.5;-33.43647931;-70.61624025;Providencia
4.5;-33.38182;-70.58021;Vitacura
4.5;-33.4206019;-70.61083282;Providencia
4.5;-33.39508382;-70.58213299;Vitacura
4.5;-33.41431291;-70.59894145;Las Condes
4.5;-33.44443745;-70.66479606;Santiago
4.5;-33.43757274;-70.63615338;Santiago
4.5;-33.42403796;-70.61652985;Providencia
4.5;-33.4447152;-70.61437381;Providencia
4.5;-33.39552342;-70.59741192;Vitacura
4.5;-33.43346677;-70.63466933;Providencia
4.5;-33.41603396;-70.59542739;Las Condes
4.5;-33.42049613;-70.6096449;Providencia
4.5;-33.42018864;-70.60993466;Providencia
4.5;-33.38897253;-70.54572948;Las Condes
4;-33.41426362;-70.59851464;Las Condes
4;-33.44723574;-70.63120388;Providencia
4.5;-33.43785861;-70.64525396;Santiago
4.5;-33.41640251;-70.60702322;Providencia
4.5;-33.42145032;-70.61147595;Providencia
4.5;-33.43770312;-70.6439964;Santiago
4.5;-33.44614527;-70.62868707;Providencia
4.5;-33.42062002;-70.60363093;Providencia
4.5;-33.42272532;-70.61244875;Providencia
4.5;-33.44178951;-70.63350921;Providencia
4.5;-33.44233203;-70.66790795;Santiago
4.5;-33.42548844;-70.61165133;Providencia
4.5;-33.40201001;-70.59418552;Vitacura
4;-33.41395262;-70.6016471;Las Condes
4.5;-33.44309387;-70.62693689;Providencia
4.5;-33.39800343;-70.5854608;Vitacura
4.5;-33.39520267;-70.5998902;Vitacura
4.5;-33.43741557;-70.6159563;Providencia
4.5;-33.41686743;-70.60469289;Las Condes
4.5;-33.47324794;-70.64906936;Santiago
4;-33.41399339;-70.60173251;Las Condes
4.5;-33.38593166;-70.56123106;Vitacura
4.5;-33.43017468;-70.63679352;Recoleta
4.5;-33.40399432;-70.5962598;Vitacura
4.5;-33.43665089;-70.64444862;Santiago
4.5;-33.41426362;-70.59851464;Las Condes
4;-33.40074014;-70.59873242;Vitacura
4;-33.4230269;-70.61298838;Providencia
4;-33.41426362;-70.59851464;Las Condes
4;-33.44723574;-70.63120388;Providencia
4;-33.4421689;-70.62634216;Providencia
4.5;-33.42937117;-70.61922789;Providencia
4.5;-33.43334175;-70.63471081;Providencia
4.5;-33.42199667;-70.61308718;Providencia
4.5;-33.41697511;-70.5975664;Las Condes
4.5;-33.43146846;-70.63252257;Providencia
4;-33.4408737;-70.67403449;Santiago
4.5;-33.38511287;-70.55034074;Vitacura
4.5;-33.4460449;-70.62448663;Providencia
4.5;-33.40261237;-70.56971378;Las Condes
4.5;-33.39768376;-70.59771202;Vitacura
4.5;-33.43945225;-70.64110777;Santiago
4.5;-33.43101577;-70.6433998;Recoleta
4.5;-33.41640251;-70.60702322;Providencia
4.5;-33.38190903;-70.57974864;Vitacura
4;-33.43367278;-70.63571565;Providencia
5;-33.43195357;-70.62394519;Providencia
4.5;-33.42323407;-70.61200202;Providencia
4;-33.43691174;-70.62801719;Providencia
4;-33.43809937;-70.64169755;Santiago
4;-33.4388854;-70.6743277;Santiago
4.5;-33.37824532;-70.52979906;Vitacura
4;-33.39965043;-70.59017081;Vitacura
4;-33.43889146;-70.60646719;Providencia
4;-33.44723574;-70.63120388;Providencia
3;-33.43925904;-70.66477136;Santiago
4;-33.43099266;-70.61886544;Providencia
4;-33.44309726;-70.66196564;Santiago
4;-33.42188769;-70.60849883;Providencia
4;-33.40102019;-70.59217298;Vitacura
4;-33.42875781;-70.62005717;Providencia
4.5;-33.43227944;-70.63362199;Providencia
4;-33.42550034;-70.61651969;Providencia
4;-33.43169303;-70.63605711;Recoleta
4;-33.43939655;-70.64074607;Santiago
4;-33.4413887;-70.65064675;Santiago
4.5;-33.43781495;-70.64523348;Santiago
4;-33.39709876;-70.59764452;Vitacura
4;-33.41284435;-70.60316798;Las Condes
4;-33.40163513;-70.59525498;Vitacura
4;-33.40198478;-70.58031542;Las Condes
4;-33.39632894;-70.59746957;Vitacura
4.5;-33.45532749;-70.59476262;Ñuñoa
4;-33.43939559;-70.61628148;Providencia
4.5;-33.46094625;-70.62098806;Ñuñoa
4;-33.43366733;-70.63453167;Providencia
4;-33.42240357;-70.61191187;Providencia
4;-33.44117822;-70.66365076;Santiago
4;-33.44196298;-70.65557336;Santiago
4.5;-33.42593988;-70.63965792;Recoleta
4;-33.4555934;-70.60579078;Ñuñoa
4;-33.43662554;-70.64432496;Santiago
4;-33.41426362;-70.59851464;Las Condes
4;-33.44723574;-70.63120388;Providencia
4.5;-33.44166623;-70.67648672;Santiago
4.5;-33.41152411;-70.6026964;Las Condes
4.5;-33.39945528;-70.59804292;Vitacura
4;-33.42188769;-70.60849883;Providencia
4;-33.39938692;-70.57577621;Vitacura
4;-33.45379389;-70.66498932;Santiago
4;-33.41640251;-70.60702322;Providencia
4.5;-33.42928372;-70.62001489;Providencia
4;-33.45542826;-70.6775513;Santiago
4;-33.41425084;-70.59436462;Las Condes
4;-33.43388919;-70.63451905;Providencia
4;-33.43769811;-70.64097444;Santiago
4;-33.41683635;-70.60622276;Providencia
4.5;-33.44277714;-70.63375051;Santiago
4.5;-33.43766255;-70.64358658;Santiago
4;-33.43236944;-70.63357796;Providencia
4;-33.37373007;-70.51008181;Las Condes
4;-33.38248686;-70.58263593;Vitacura
5;-33.38312531;-70.54948174;Vitacura
4;-33.40327107;-70.58869467;Vitacura
4.5;-33.43171742;-70.6431697;Recoleta
4;-33.43416652;-70.63562598;Providencia
4;-33.42080492;-70.60547726;Providencia
4.5;-33.44821319;-70.62341534;Ñuñoa
4;-33.43731683;-70.64207704;Santiago
4;-33.42833379;-70.61893772;Providencia
4;-33.40364986;-70.5874481;Vitacura
4;-33.45522743;-70.59593323;Ñuñoa
4;-33.41640251;-70.60702322;Providencia
4;-33.44723574;-70.63120388;Providencia
4;-33.41426362;-70.59851464;Las Condes
4;-33.42250545;-70.61352005;Providencia
4;-33.43319;-70.65103;Santiago
4.5;-33.40364986;-70.5874481;Vitacura
4.5;-33.41579496;-70.6041394;Las Condes
4;-33.42101701;-70.61051936;Providencia
4;-33.45626856;-70.62465516;Ñuñoa
4;-33.43840588;-70.63496275;Santiago
4;-33.41426362;-70.59851464;Las Condes
4;-33.44284509;-70.66806819;Santiago
4;-33.41426362;-70.59851464;Las Condes
4;-33.42608394;-70.61873232;Providencia
4;-33.40056641;-70.59253171;Vitacura
4;-33.43378995;-70.63453998;Providencia
4.5;-33.42064809;-70.61082731;Providencia
4;-33.42991436;-70.64196327;Recoleta
4;-33.43242468;-70.66904983;Santiago
4;-33.433182;-70.634826;Providencia
4;-33.38507409;-70.55059051;Vitacura
4.5;-33.43777689;-70.64479133;Santiago
4.5;-33.40219706;-70.59299497;Vitacura
4;-33.44591597;-70.65806356;Santiago
4.5;-33.41409962;-70.59992841;Las Condes
4;-33.43838368;-70.64702834;Santiago
4.5;-33.43494076;-70.61652999;Providencia
4;-33.43995168;-70.64106779;Santiago
4;-33.41640251;-70.60702322;Providencia
4;-33.44723574;-70.63120388;Providencia
4;-33.41426362;-70.59851464;Las Condes
5;-33.43192964;-70.63450349;Providencia
4;-33.43977496;-70.65307414;Santiago
4;-33.39469514;-70.57900684;Vitacura
4;-33.39614965;-70.58114394;Vitacura
4;-33.43672362;-70.65560569;Santiago
4;-33.40198478;-70.58031542;Las Condes
4;-33.38288961;-70.53535421;Vitacura
4.5;-33.39862742;-70.59790869;Vitacura
4.5;-33.4329061;-70.63475614;Providencia
4;-33.42401138;-70.61298228;Providencia
4;-33.42229667;-70.61279768;Providencia
4;-33.43620831;-70.59612451;Providencia
4;-33.40770633;-70.56496116;Las Condes
4;-33.44180812;-70.64843081;Santiago
4.5;-33.4534877;-70.66166279;Santiago
4;-33.38897253;-70.54572948;Las Condes
4;-33.418431;-70.602822;Providencia
4;-33.42259629;-70.61342633;Providencia
4;-33.42367442;-70.60915992;Providencia
4;-33.39526217;-70.5973724;Vitacura
4;-33.40198478;-70.58031542;Las Condes
4;-33.43995168;-70.64106779;Santiago
4;-33.44124589;-70.65180163;Santiago
4.5;-33.41657;-70.59553;Las Condes
4.5;-33.43166627;-70.62290482;Providencia
4;-33.43995168;-70.64106779;Santiago
4;-33.44723574;-70.63120388;Providencia
4;-33.41426362;-70.59851464;Las Condes
4;-33.439167;-70.64119245;Santiago
4;-33.38248686;-70.58263593;Vitacura
4;-33.41562134;-70.5960788;Las Condes
4;-33.455133;-70.62239025;Ñuñoa
4;-33.43313127;-70.63468751;Providencia
4.5;-33.41707;-70.60738;Providencia
4.5;-33.44180132;-70.67077773;Santiago
4.5;-33.42658584;-70.61937434;Providencia
